freq_subset,rcond,measure,sum_accuracy,avg_accuracy,n_rows
100000,0.01,mahalanobis_cosine,2276.999999999999,0.16614374315943078,13705
100000,0.001,mahalanobis_cosine,2276.999999999999,0.16614374315943078,13705
100000,0.02,mahalanobis_cosine,2276.999999999999,0.16614374315943078,13705
100000,0.005,mahalanobis_cosine,2276.999999999999,0.16614374315943078,13705
100000,0.001,mahalanobis_shifted_cosine,2251.9999999999995,0.16431959139000363,13705
100000,0.02,mahalanobis_shifted_cosine,2251.9999999999995,0.16431959139000363,13705
100000,0.005,mahalanobis_shifted_cosine,2251.9999999999995,0.16431959139000363,13705
100000,0.01,mahalanobis_shifted_cosine,2251.9999999999995,0.16431959139000363,13705
50000,0.005,mahalanobis_cosine,2213.999999999999,0.1615468807004742,13705
50000,0.02,mahalanobis_cosine,2213.999999999999,0.1615468807004742,13705
50000,0.001,mahalanobis_cosine,2213.999999999999,0.1615468807004742,13705
50000,0.01,mahalanobis_cosine,2213.999999999999,0.1615468807004742,13705
50000,0.001,mahalanobis_shifted_cosine,2178.9999999999995,0.15899306822327613,13705
50000,0.005,mahalanobis_shifted_cosine,2178.9999999999995,0.15899306822327613,13705
50000,0.01,mahalanobis_shifted_cosine,2178.9999999999995,0.15899306822327613,13705
50000,0.02,mahalanobis_shifted_cosine,2178.9999999999995,0.15899306822327613,13705
30000,0.02,mahalanobis_shifted_cosine,2155.9999999999995,0.1573148485954031,13705
30000,0.01,mahalanobis_shifted_cosine,2155.9999999999995,0.1573148485954031,13705
30000,0.001,mahalanobis_shifted_cosine,2155.9999999999995,0.1573148485954031,13705
30000,0.005,mahalanobis_shifted_cosine,2155.9999999999995,0.1573148485954031,13705
30000,0.005,mahalanobis_cosine,2141.9999999999995,0.15629332360452386,13705
30000,0.01,mahalanobis_cosine,2141.9999999999995,0.15629332360452386,13705
30000,0.001,mahalanobis_cosine,2141.9999999999995,0.15629332360452386,13705
30000,0.02,mahalanobis_cosine,2141.9999999999995,0.15629332360452386,13705
20000,0.005,mahalanobis_shifted_cosine,2081.9999999999995,0.15191535935789854,13705
20000,0.01,mahalanobis_shifted_cosine,2081.9999999999995,0.15191535935789854,13705
20000,0.001,mahalanobis_shifted_cosine,2081.9999999999995,0.15191535935789854,13705
20000,0.02,mahalanobis_shifted_cosine,2081.9999999999995,0.15191535935789854,13705
20000,0.005,mahalanobis_cosine,2070.999999999999,0.15111273257935054,13705
20000,0.02,mahalanobis_cosine,2070.999999999999,0.15111273257935054,13705
20000,0.01,mahalanobis_cosine,2070.999999999999,0.15111273257935054,13705
20000,0.001,mahalanobis_cosine,2070.999999999999,0.15111273257935054,13705
10000,0.02,mahalanobis_cosine,2025.9999999999995,0.14782925939438157,13705
10000,0.02,mahalanobis_shifted_cosine,2017.9999999999993,0.14724553082816486,13705
100000,0.02,naive_cosine,1930.9999999999993,0.14089748267055813,13705
30000,0.005,naive_cosine,1930.9999999999993,0.14089748267055813,13705
30000,0.01,naive_cosine,1930.9999999999993,0.14089748267055813,13705
30000,0.02,naive_cosine,1930.9999999999993,0.14089748267055813,13705
100000,0.001,naive_cosine,1930.9999999999993,0.14089748267055813,13705
50000,0.001,naive_cosine,1930.9999999999993,0.14089748267055813,13705
50000,0.005,naive_cosine,1930.9999999999993,0.14089748267055813,13705
50000,0.01,naive_cosine,1930.9999999999993,0.14089748267055813,13705
30000,0.001,naive_cosine,1930.9999999999993,0.14089748267055813,13705
50000,0.02,naive_cosine,1930.9999999999993,0.14089748267055813,13705
100000,0.01,naive_cosine,1930.9999999999993,0.14089748267055813,13705
10000,0.005,naive_cosine,1930.9999999999993,0.14089748267055813,13705
20000,0.02,naive_cosine,1930.9999999999993,0.14089748267055813,13705
20000,0.01,naive_cosine,1930.9999999999993,0.14089748267055813,13705
10000,0.01,naive_cosine,1930.9999999999993,0.14089748267055813,13705
10000,0.001,naive_cosine,1930.9999999999993,0.14089748267055813,13705
100000,0.005,naive_cosine,1930.9999999999993,0.14089748267055813,13705
20000,0.005,naive_cosine,1930.9999999999993,0.14089748267055813,13705
10000,0.02,naive_cosine,1930.9999999999993,0.14089748267055813,13705
20000,0.001,naive_cosine,1930.9999999999993,0.14089748267055813,13705
10000,0.001,mahalanobis_shifted_cosine,1894.9999999999993,0.13827070412258294,13705
10000,0.01,mahalanobis_shifted_cosine,1894.9999999999993,0.13827070412258294,13705
10000,0.005,mahalanobis_shifted_cosine,1894.9999999999993,0.13827070412258294,13705
10000,0.01,mahalanobis_cosine,1820.9999999999993,0.1328712148850784,13705
10000,0.005,mahalanobis_cosine,1820.9999999999993,0.1328712148850784,13705
10000,0.001,mahalanobis_cosine,1820.9999999999993,0.1328712148850784,13705
100000,0.001,mahalanobis_distance,951.9999999999991,0.06946369937978833,13705
100000,0.02,mahalanobis_distance,951.9999999999991,0.06946369937978833,13705
100000,0.01,mahalanobis_distance,951.9999999999991,0.06946369937978833,13705
100000,0.005,mahalanobis_distance,951.9999999999991,0.06946369937978833,13705
50000,0.01,mahalanobis_distance,916.9999999999992,0.06690988690259024,13705
50000,0.005,mahalanobis_distance,916.9999999999992,0.06690988690259024,13705
50000,0.02,mahalanobis_distance,916.9999999999992,0.06690988690259024,13705
50000,0.001,mahalanobis_distance,916.9999999999992,0.06690988690259024,13705
30000,0.02,mahalanobis_distance,881.9999999999991,0.06435607442539212,13705
30000,0.01,mahalanobis_distance,881.9999999999991,0.06435607442539212,13705
30000,0.005,mahalanobis_distance,881.9999999999991,0.06435607442539212,13705
30000,0.001,mahalanobis_distance,881.9999999999991,0.06435607442539212,13705
20000,0.001,mahalanobis_distance,817.9999999999993,0.05968624589565847,13705
20000,0.005,mahalanobis_distance,817.9999999999993,0.05968624589565847,13705
20000,0.01,mahalanobis_distance,817.9999999999993,0.05968624589565847,13705
20000,0.02,mahalanobis_distance,817.9999999999993,0.05968624589565847,13705
100000,0.001,euclidean_distance,711.9999999999991,0.051951842393287054,13705
100000,0.02,euclidean_distance,711.9999999999991,0.051951842393287054,13705
100000,0.01,euclidean_distance,711.9999999999991,0.051951842393287054,13705
100000,0.005,euclidean_distance,711.9999999999991,0.051951842393287054,13705
10000,0.001,euclidean_distance,711.9999999999991,0.051951842393287054,13705
50000,0.02,euclidean_distance,711.9999999999991,0.051951842393287054,13705
20000,0.01,euclidean_distance,711.9999999999991,0.051951842393287054,13705
10000,0.005,euclidean_distance,711.9999999999991,0.051951842393287054,13705
10000,0.01,euclidean_distance,711.9999999999991,0.051951842393287054,13705
10000,0.02,euclidean_distance,711.9999999999991,0.051951842393287054,13705
20000,0.001,euclidean_distance,711.9999999999991,0.051951842393287054,13705
50000,0.01,euclidean_distance,711.9999999999991,0.051951842393287054,13705
20000,0.005,euclidean_distance,711.9999999999991,0.051951842393287054,13705
20000,0.02,euclidean_distance,711.9999999999991,0.051951842393287054,13705
30000,0.001,euclidean_distance,711.9999999999991,0.051951842393287054,13705
30000,0.005,euclidean_distance,711.9999999999991,0.051951842393287054,13705
30000,0.02,euclidean_distance,711.9999999999991,0.051951842393287054,13705
50000,0.001,euclidean_distance,711.9999999999991,0.051951842393287054,13705
50000,0.005,euclidean_distance,711.9999999999991,0.051951842393287054,13705
30000,0.01,euclidean_distance,711.9999999999991,0.051951842393287054,13705
10000,0.01,mahalanobis_distance,689.9999999999992,0.050346588836191114,13705
10000,0.005,mahalanobis_distance,689.9999999999992,0.050346588836191114,13705
10000,0.001,mahalanobis_distance,689.9999999999992,0.050346588836191114,13705
10000,0.02,mahalanobis_distance,655.9999999999993,0.047865742429770104,13705
